fiscal_year,entity,line_item,amount_usd,units,source_page,source_url
2017,FASB (standalone entity),net assets at end of year,5891,USD thousands,1,https://web.archive.org/web/20190428185241id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2018_Financials_Final.pdf
2017,FASB (standalone entity),total expenses,39404,USD thousands,1,https://web.archive.org/web/20190428185241id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2018_Financials_Final.pdf
2017,FASB (standalone entity),total revenue,27763,USD thousands,1,https://web.archive.org/web/20190428185241id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2018_Financials_Final.pdf
2017,FASB content,Note 2 disaggregation: hard copy and other (FASB),330,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FASB content,Note 2 disaggregation: licensing (FASB),13586,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FASB content,Note 2 disaggregation: online subscriptions (FASB),1750,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FASB content,Note 2 disaggregation: print subscriptions (FASB),281,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FASB content,Note 2 disaggregation: total (FASB),15947,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,GASB content,Note 2 disaggregation: hard copy and other (GASB),97,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,GASB content,Note 2 disaggregation: licensing (GASB),1159,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,GASB content,Note 2 disaggregation: online subscriptions (GASB),93,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,GASB content,Note 2 disaggregation: print subscriptions (GASB),357,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,GASB content,Note 2 disaggregation: total (GASB),1706,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: hard copy and other (total),320,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: licensing (total),15377,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: online subscriptions (total),1827,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: print subscriptions (total),596,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: total (total),18120,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),29081,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),8346,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),change in net assets,4252,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),contributions - FAF contributed services,184,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,777,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),investment income - short-term,150,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),net assets at end of year,70129,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),publishing revenue (total),18120,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),total accounting support fees,37427,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),total expenses,52559,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FAF combined (FAF+FASB+GASB),total revenue,55731,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FASB (standalone entity),accounting support fees (FASB),29081,USD thousands,1,https://web.archive.org/web/20190428185241id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2018_Financials_Final.pdf
2018,FASB (standalone entity),net assets at end of year,5752,USD thousands,1,https://web.archive.org/web/20190428185241id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2018_Financials_Final.pdf
2018,FASB (standalone entity),total expenses,36579,USD thousands,1,https://web.archive.org/web/20190428185241id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2018_Financials_Final.pdf
2018,FASB (standalone entity),total revenue,29081,USD thousands,1,https://web.archive.org/web/20190428185241id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2018_Financials_Final.pdf
2018,FASB content,Note 2 disaggregation: hard copy and other (FASB),232,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FASB content,Note 2 disaggregation: licensing (FASB),14184,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FASB content,Note 2 disaggregation: online subscriptions (FASB),1730,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FASB content,Note 2 disaggregation: print subscriptions (FASB),256,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,FASB content,Note 2 disaggregation: total (FASB),16402,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,GASB content,Note 2 disaggregation: hard copy and other (GASB),88,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,GASB content,Note 2 disaggregation: licensing (GASB),1193,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,GASB content,Note 2 disaggregation: online subscriptions (GASB),97,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,GASB content,Note 2 disaggregation: print subscriptions (GASB),340,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2018,GASB content,Note 2 disaggregation: total (GASB),1718,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2019,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: hard copy and other (total),293,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: licensing (total),16040,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: online subscriptions (total),1818,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: print subscriptions (total),527,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: total (total),18678,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),29294,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),8936,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),change in net assets,3294,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),contributions - contributed services,130,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,2343,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),investment income - short-term,155,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),net assets at end of year,73423,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),publishing revenue (total),18678,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),total accounting support fees,38230,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),total expenses,56408,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FAF combined (FAF+FASB+GASB),total revenue,57038,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FASB (standalone entity),accounting support fees (FASB),29294,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Standards_Board_20_FS_Final.pdf
2019,FASB (standalone entity),net assets at end of year,6308,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Standards_Board_20_FS_Final.pdf
2019,FASB (standalone entity),total expenses,37776,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Standards_Board_20_FS_Final.pdf
2019,FASB (standalone entity),total revenue,29294,USD thousands,1,https://storage.accountingfoundation.org/Financial_Accounting_Standards_Board_20_FS_Final.pdf
2019,FASB content,Note 2 disaggregation: hard copy and other (FASB),214,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FASB content,Note 2 disaggregation: licensing (FASB),14819,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FASB content,Note 2 disaggregation: online subscriptions (FASB),1721,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FASB content,Note 2 disaggregation: print subscriptions (FASB),220,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,FASB content,Note 2 disaggregation: total (FASB),16974,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,GASB content,Note 2 disaggregation: hard copy and other (GASB),79,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,GASB content,Note 2 disaggregation: licensing (GASB),1221,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,GASB content,Note 2 disaggregation: online subscriptions (GASB),97,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,GASB content,Note 2 disaggregation: print subscriptions (GASB),307,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2019,GASB content,Note 2 disaggregation: total (GASB),1704,USD thousands,6,https://storage.accountingfoundation.org/Financial_Accounting_Foundation_20_FS_Final_Unsecured.pdf
2020,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: hard copy and other (total),177,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: licensing (total),16298,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: online subscriptions (total),1654,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: print subscriptions (total),493,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: total (total),18622,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),31333,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),10022,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),change in net assets,6377,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),contributions - contributed services,180,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,1670,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),investment income - short-term,63,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),net assets at end of year,79800,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),publishing revenue (total),18622,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),total accounting support fees,41355,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),total expenses,56358,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FAF combined (FAF+FASB+GASB),total revenue,60157,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FASB (standalone entity),accounting support fees (FASB),31332,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FASB (standalone entity),net assets at end of year,6700,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FASB (standalone entity),total expenses,38112,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FASB (standalone entity),total revenue,31332,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FASB content,Note 2 disaggregation: hard copy and other (FASB),119,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FASB content,Note 2 disaggregation: licensing (FASB),15042,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FASB content,Note 2 disaggregation: online subscriptions (FASB),1564,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FASB content,Note 2 disaggregation: print subscriptions (FASB),206,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,FASB content,Note 2 disaggregation: total (FASB),16931,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,GASB content,Note 2 disaggregation: hard copy and other (GASB),58,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,GASB content,Note 2 disaggregation: licensing (GASB),1256,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,GASB content,Note 2 disaggregation: online subscriptions (GASB),90,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,GASB content,Note 2 disaggregation: print subscriptions (GASB),287,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2020,GASB content,Note 2 disaggregation: total (GASB),1691,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: hard copy and other (total),148,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: licensing (total),16847,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: online subscriptions (total),1605,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: print subscriptions (total),412,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: total (total),19012,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),31439,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),10707,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),change in net assets,3845,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),contributions - contributed services,192,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,-93,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),investment income - short-term,37,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),net assets at end of year,83645,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),publishing revenue (total),19012,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),total accounting support fees,42146,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),total expenses,57055,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FAF combined (FAF+FASB+GASB),total revenue,61350,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FASB (standalone entity),accounting support fees (FASB),31439,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FASB (standalone entity),net assets at end of year,6917,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FASB (standalone entity),total expenses,38541,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FASB (standalone entity),total revenue,31439,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202021%20and%202020.pdf
2021,FASB content,Note 2 disaggregation: hard copy and other (FASB),99,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,FASB content,Note 2 disaggregation: licensing (FASB),15609,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,FASB content,Note 2 disaggregation: online subscriptions (FASB),1513,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,FASB content,Note 2 disaggregation: print subscriptions (FASB),165,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,FASB content,Note 2 disaggregation: total (FASB),17386,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,GASB content,Note 2 disaggregation: hard copy and other (GASB),49,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,GASB content,Note 2 disaggregation: licensing (GASB),1238,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,GASB content,Note 2 disaggregation: online subscriptions (GASB),92,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,GASB content,Note 2 disaggregation: print subscriptions (GASB),247,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2021,GASB content,Note 2 disaggregation: total (GASB),1626,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202022%20and%202021.pdf
2022,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: hard copy and other (total),114,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: licensing (total),19147,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: online subscriptions (total),1562,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: print subscriptions (total),344,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: total (total),21167,USD thousands,7,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),41054,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),12509,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),change in net assets,10675,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),contributions - contributed services,217,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,-1368,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),investment income - short-term,91,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),licensing and sales revenue (total),21167,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),net assets at end of year,94320,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),total accounting support fees,53563,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),total expenses,64260,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FAF combined (FAF+FASB+GASB),total revenue,74947,USD thousands,1,https://storage.accountingfoundation.org/FAF%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FASB (standalone entity),accounting support fees (FASB),41054,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FASB (standalone entity),net assets at end of year,3890,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202023%20and%202022.pdf
2022,FASB (standalone entity),total expenses,41477,USD thousands,1,https://storage.accountingfoundation.org/FASB%20Audited%20Financial%20Statements%202023%20and%202022.pdf
